Region,Sex,Cause,Rate
HHS Region 07,Female,Alzheimers,29.05
HHS Region 07,Female,Cancer,148.85
HHS Region 07,Female,Cerebrovascular diseases,38.7
HHS Region 07,Female,Diabetes,17.55
HHS Region 07,Female,Flu and pneumonia,15.850000000000001
HHS Region 07,Female,Heart disease,141.7
HHS Region 07,Female,Lower respiratory,44.8
HHS Region 07,Female,Nephritis,12.4
HHS Region 07,Female,Suicide,5.8
HHS Region 07,Female,Unintentional injuries,32.05
HHS Region 07,Male,Alzheimers,22.4
HHS Region 07,Male,Cancer,209.2
HHS Region 07,Male,Cerebrovascular diseases,38.6
HHS Region 07,Male,Diabetes,24.25
HHS Region 07,Male,Flu and pneumonia,19.85
HHS Region 07,Male,Heart disease,223.85
HHS Region 07,Male,Lower respiratory,60.35
HHS Region 07,Male,Nephritis,17.3
HHS Region 07,Male,Suicide,24.25
HHS Region 07,Male,Unintentional injuries,60.75
