Region,Status,Cause,Rate
HHS Region 03,Rural,Alzheimers,22.049999999999997
HHS Region 03,Rural,Cancer,190.7
HHS Region 03,Rural,Cerebrovascular diseases,42.3
HHS Region 03,Rural,Diabetes,28.3
HHS Region 03,Rural,Flu and pneumonia,19.950000000000003
HHS Region 03,Rural,Heart disease,204.25
HHS Region 03,Rural,Lower respiratory,54.25
HHS Region 03,Rural,Nephritis,19.7
HHS Region 03,Rural,Suicide,16.75
HHS Region 03,Rural,Unintentional injuries,58.699999999999996
HHS Region 03,Urban,Alzheimers,17.549999999999997
HHS Region 03,Urban,Cancer,175.5
HHS Region 03,Urban,Cerebrovascular diseases,37.8
HHS Region 03,Urban,Diabetes,21.1
HHS Region 03,Urban,Flu and pneumonia,16.1
HHS Region 03,Urban,Heart disease,178.14999999999998
HHS Region 03,Urban,Lower respiratory,38.05
HHS Region 03,Urban,Nephritis,15.9
HHS Region 03,Urban,Suicide,11.950000000000001
HHS Region 03,Urban,Unintentional injuries,38.05
