Region,Status,Sex,Rate
HHS Region 01,Urban,Female,22.15
HHS Region 01,Urban,Male,23.799999999999997
HHS Region 02,Urban,Female,16.1
HHS Region 02,Urban,Male,25.95
HHS Region 03,Urban,Female,22.1
HHS Region 03,Urban,Male,31.6
HHS Region 04,Urban,Female,27.200000000000003
HHS Region 04,Urban,Male,31.35
HHS Region 05,Urban,Female,25.95
HHS Region 05,Urban,Male,32.45
HHS Region 06,Urban,Female,27.35
HHS Region 06,Urban,Male,33.8
HHS Region 07,Urban,Female,28.25
HHS Region 07,Urban,Male,30.3
HHS Region 08,Urban,Female,31.8
HHS Region 08,Urban,Male,31.400000000000002
HHS Region 09,Urban,Female,26.3
HHS Region 09,Urban,Male,29.9
HHS Region 10,Urban,Female,31.8
HHS Region 10,Urban,Male,33.349999999999994
